u_id,tuition,in_state
135522,8367,0
135522,2851,1
135610,13560,0
135717,7947,0
135717,1987,1
135726,55440,0
136145,9180,0
136145,2280,1
136172,16799,0
136172,3996,1
136215,34500,0
136233,9552,0
136233,2496,1
136330,34900,0
136358,10890,0
136358,3030,1
136400,9272,0
136400,2297,1
136473,7551,0
136473,1888,1
136516,9933,0
136516,2483,1
136701,17366,0
136765,10368,0
136765,3800,1
136774,48100,0
136950,56110,0
137032,24990,0
137078,7774,0
137078,1943,1
137096,7418,0
137096,1872,1
137209,9494,0
137209,2393,1
137272,23100,0
137281,8403,0
137281,2067,1
137315,11829,0
137315,3135,1
137351,15473,0
137351,4559,1
137476,32600,0
137546,51960,0
137564,28848,0
137759,7982,0
137759,2002,1
137777,15000,0
137801,15316,0
137847,30036,0
137953,13100,0
137962,15200,0
138187,7933,0
138187,1984,1
138275,25700,0
138293,27030,0
138309,11964,0
138354,16004,0
138354,3735,1
138558,9469,0
138558,2563,1
138600,45456,0
138655,11040,0
138664,10800,0
138682,4800,0
138682,2400,1
138716,14786,0
138716,4064,1
138761,18214,0
138813,20700,0
138840,4800,0
138840,2400,1
138868,21150,0
138901,9051,0
138901,2426,1
138929,NULL,0
138947,21948,0
138956,4800,0
138956,2400,1
139144,39150,0
139153,7632,0
139199,31000,0
139205,17850,0
139250,9469,0
139250,2563,1
139278,4800,0
139278,2400,1
139311,14786,0
139311,4064,1
139348,18990,0
139357,4800,0
139357,2400,1
139366,15425,0
139366,4371,1
139384,4800,0
139384,2400,1
139393,37760,0
139463,9469,0
139463,2563,1
139579,15300,0
139621,8632,0
139621,2280,1
139630,22464,0
139658,57120,0
139700,8632,0
139700,2280,1
139719,14786,0
139719,4064,1
139746,6705,0
139755,31370,0
139755,10258,1
139764,14786,0
139764,4064,1
139861,26688,0
139861,7508,1
139931,15425,0
139931,4371,1
139940,22389,0
139940,7158,1
139959,28830,0
139959,9790,1
139968,9469,0
139968,2563,1
139986,4800,0
139986,2400,1
139995,15960,0
140003,10250,0
140012,4800,0
140012,2400,1
140146,14000,0
140234,32800,0
140243,6000,0
140243,3000,1
140252,12915,0
140331,4800,0
140331,2400,1
140340,11820,0
140447,30017,0
140553,27038,0
140562,23513,0
140571,8500,0
140678,4800,0
140678,2400,1
140696,43710,0
140720,12706,0
140818,28970,0
140827,19400,0
140872,26000,0
140942,4800,0
140942,2400,1
140951,39105,0
140960,14785,0
140960,4064,1
140988,22828,0
141006,6000,0
141006,3000,1
141060,25880,0
141167,10800,0
141185,22350,0
141237,22896,0
141255,4800,0
141255,2400,1
141264,15426,0
141264,4371,1
141325,26450,0
141334,15426,0
141334,4371,1
141361,29700,0
141486,28430,0
141565,20304,0
141565,7344,1
141574,33336,0
141574,11304,1
141644,31440,0
141680,8280,0
141680,3144,1
141796,8280,0
141796,3144,1
141802,8280,0
141802,3144,1
141811,8280,0
141811,3144,1
141839,8280,0
141839,3144,1
141981,20304,0
141981,7344,1
141990,8280,0
141990,3144,1
142090,9000,0
142115,22869,0
142115,5532,1
142179,6720,0
142179,4360,1
142276,23906,0
142276,5928,1
142285,25418,0
142285,6182,1
142294,33825,0
142328,20252,0
142328,6996,1
142443,7776,0
142443,4000,1
142461,35548,0
142522,4536,0
142559,6840,0
142559,4560,1
142832,16740,0
142887,36800,0
142957,7500,0
143048,51290,0
143084,47766,0
143118,27200,0
143215,5940,0
143215,6120,1
143233,12000,0
143279,8100,0
143279,7950,1
143288,26055,0
143297,28280,0
143358,37380,0
143613,8710,0
143613,7810,1
143659,23232,0
143853,48133,0
143978,11784,0
144005,7656,0
144014,38520,0
144050,61179,0
144157,14430,0
144157,11520,1
144166,14430,0
144166,11520,1
144175,14430,0
144175,11520,1
144184,14430,0
144184,11520,1
144193,14430,0
144193,11520,1
144209,14430,0
144209,11520,1
144218,14430,0
144218,11520,1
144281,29270,0
144351,33944,0
144564,7800,0
144740,42449,0
144865,11010,0
144865,8910,1
144883,22050,0
144892,11882,0
144892,9417,1
144944,9504,0
144944,7128,1
144962,39862,0
144971,27450,0
145239,15560,0
145275,22680,0
145336,15024,0
145336,7512,1
145354,5743,0
145372,29998,0
145497,13800,0
145521,6048,0
145521,5904,1
145558,33207,0
145600,27765,0
145600,12396,1
145619,30927,0
145628,NULL,0
145637,35122,0
145637,14542,1
145646,53610,0
145682,11336,0
145682,9316,1
145691,35796,0
145707,10928,0
145707,8902,1
145725,48659,0
145813,20175,0
145813,10907,1
145831,14082,0
145831,12937,1
145886,25988,0
146205,7020,0
146205,5640,1
146278,7770,0
146296,12750,0
146296,11700,1
146339,29850,0
146348,24990,0
146348,12630,1
146366,11850,0
146366,7050,1
146418,13230,0
146418,8820,1
146427,52461,0
146472,12502,0
146472,9226,1
146481,52000,0
