u_id,assoc,sport
196176,NCAA,WBB
196176,NCAA,MBA
196176,NCAA,MTR
196176,NCAA,WTR
196185,NCAA,MBB
196185,NCAA,WBB
196185,NCAA,MBA
196185,NCAA,MTR
196185,NCAA,WTR
196194,NCAA,MBB
196194,NCAA,WBB
196194,NCAA,MBA
196194,NCAA,MTR
196194,NCAA,WTR
196200,NCAA,MBB
196200,NCAA,WBB
196200,NCAA,MTR
196200,NCAA,WTR
196219,NCAA,MBB
196219,NCAA,WBB
196219,NCAA,MBA
196219,NCAA,MTR
196219,NCAA,WTR
196237,NCAA,MBB
196237,NCAA,WBB
196237,NCAA,MBA
196237,NCAA,MTR
196237,NCAA,WTR
196246,NCAA,MBB
196246,NCAA,WBB
196246,NCAA,MBA
196246,NCAA,MTR
196246,NCAA,WTR
196291,NCAA,MFB
196291,NCAA,MBB
196291,NCAA,WBB
196291,NCAA,MBA
196291,NCAA,MTR
196291,NCAA,WTR
196413,NCAA,MFB
196413,NCAA,MBB
196413,NCAA,WBB
196413,NCAA,MTR
196413,NCAA,WTR
196866,NCAA,MFB
196866,NCAA,MBB
196866,NCAA,WBB
196866,NCAA,MBA
196866,NCAA,MTR
196866,NCAA,WTR
197027,NCAA,MFB
197027,NCAA,MBB
197027,NCAA,WBB
197027,NCAA,MBA
197027,NCAA,MTR
197027,NCAA,WTR
197036,NCAA,MFB
197036,NCAA,MBB
197036,NCAA,WBB
197036,NCAA,MBA
197036,NCAA,MTR
197036,NCAA,WTR
197045,NCAA,MFB
197045,NCAA,MBB
197045,NCAA,WBB
197045,NCAA,MBA
197045,NCAA,MTR
197045,NCAA,WTR
197133,NCAA,MBB
197133,NCAA,WBB
197133,NCAA,MBA
197133,NCAA,MTR
197133,NCAA,WTR
197197,NCAA,MFB
197197,NCAA,MBB
197197,NCAA,WBB
197197,NCAA,MBA
197197,NCAA,MTR
197197,NCAA,WTR
197230,NCAA,MBB
197230,NCAA,WBB
197230,NCAA,MBA
197708,NCAA,MBB
197708,NCAA,WBB
197708,NCAA,MBA
197708,NCAA,MTR
197708,NCAA,WTR
197869,NCAA,MFB
197869,NCAA,MBB
197869,NCAA,WBB
197869,NCAA,MBA
197869,NCAA,MTR
197869,NCAA,WTR
197911,NCAA,MFB
197911,NCAA,MBB
197911,NCAA,WBB
197911,NCAA,MBA
197911,NCAA,MTR
197911,NCAA,WTR
197984,NCAA,MBB
197984,NCAA,WBB
197984,NCAA,MBA
197984,NCAA,MTR
197984,NCAA,WTR
198066,NCAA,MFB
198066,NCAA,MBB
198066,NCAA,WBB
198066,NCAA,MBA
198066,NCAA,MTR
198066,NCAA,WTR
198136,NCAA,MFB
198136,NCAA,MBB
198136,NCAA,WBB
198136,NCAA,MBA
198136,NCAA,MTR
198136,NCAA,WTR
198215,NCAA,MFB
198215,NCAA,MBB
198215,NCAA,WBB
198215,NCAA,MBA
198215,NCAA,MTR
198215,NCAA,WTR
198303,NCAA,MFB
198303,NCAA,MBB
198303,NCAA,WBB
198303,NCAA,MBA
198303,NCAA,MTR
198303,NCAA,WTR
198385,NCAA,MFB
198385,NCAA,MBB
198385,NCAA,WBB
198385,NCAA,MBA
198385,NCAA,MTR
198385,NCAA,WTR
198419,NCAA,MFB
198419,NCAA,MBB
